City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Margate,GB,2020-04-18 05-46:27,51.38,1.39,48.0,93,99,1.99
70,Vaini,TO,2020-04-18 05-46:27,-21.2,-175.2,78.8,74,40,9.17
71,Bambous Virieux,MU,2020-04-18 05-46:28,-20.34,57.76,82.0,78,75,16.11
72,Dikson,RU,2020-04-18 05-46:28,73.51,80.55,33.21,92,95,16.24
73,Gornyak,RU,2020-04-18 05-46:29,50.99,81.47,57.97,40,0,6.15
74,Gizo,SB,2020-04-18 05-46:29,-8.1,156.84,83.28,75,60,7.07
75,Rakai,UG,2020-04-18 05-46:30,-0.72,31.48,62.92,68,100,5.53
76,Hobart,AU,2020-04-18 05-45:06,-42.88,147.33,55.99,60,75,12.75
77,Ribeira Grande,PT,2020-04-18 05-46:31,38.52,-28.7,60.84,86,82,13.51
78,Jamestown,US,2020-04-18 05-45:27,42.1,-79.24,33.01,100,90,3.36
79,Albany,US,2020-04-18 05-46:32,42.6,-73.97,36.0,84,100,4.65
80,Lebu,CL,2020-04-18 05-46:33,-37.62,-73.65,59.97,95,100,1.95
81,Constitucion,CL,2020-04-18 05-46:33,-35.33,-72.42,59.7,93,29,7.16
82,Busselton,AU,2020-04-18 05-46:34,-33.65,115.33,72.0,40,99,7.87
83,Commerce,US,2020-04-18 05-46:34,34.0,-118.16,60.8,67,20,4.7
84,Albert Lea,US,2020-04-18 05-46:35,43.65,-93.37,35.6,69,1,4.7
85,Sorong,ID,2020-04-18 05-46:36,-0.88,131.25,83.39,84,54,4.05
86,Barrow,US,2020-04-18 05-45:02,71.29,-156.79,8.6,78,75,11.41
87,Mar Del Plata,AR,2020-04-18 05-44:50,-38.0,-57.56,60.01,93,0,10.29
88,Calvia,ES,2020-04-18 05-46:37,39.57,2.51,61.0,87,100,4.7
89,Tasiilaq,GL,2020-04-18 05-46:37,65.61,-37.64,33.8,69,86,10.29
90,Mazagao,BR,2020-04-18 05-46:38,-0.12,-51.29,77.0,100,75,2.24
91,Tuktoyaktuk,CA,2020-04-18 05-46:39,69.45,-133.04,14.0,92,90,12.75
92,Mundybash,RU,2020-04-18 05-46:39,53.21,87.3,52.29,41,0,11.25
93,Saint-Georges,GD,2020-04-18 05-41:59,12.06,-61.75,80.6,78,20,6.93
94,Mahebourg,MU,2020-04-18 05-46:40,-20.41,57.7,82.0,78,75,16.11
95,Chuy,UY,2020-04-18 05-46:40,-33.7,-53.46,59.77,84,1,4.79
96,Iskateley,RU,2020-04-18 05-46:41,67.68,53.15,32.9,98,99,7.05
97,Souillac,MU,2020-04-18 05-46:41,-20.52,57.52,82.0,78,75,16.11
98,Biu,NG,2020-04-18 05-46:42,10.61,12.19,74.59,12,1,1.81
99,Iqaluit,CA,2020-04-18 05-46:43,63.75,-68.51,3.2,84,40,4.76
100,Moyo,UG,2020-04-18 05-46:44,3.66,31.72,69.8,68,100,5.21
101,Beringovskiy,RU,2020-04-18 05-46:44,63.05,179.32,19.85,97,100,22.68
102,Hede,CN,2020-04-18 05-46:45,33.77,120.25,60.4,60,94,8.66
103,Zyryanka,RU,2020-04-18 05-46:45,65.75,150.85,6.3,93,100,19.93
104,Betare Oya,CM,2020-04-18 05-46:46,5.6,14.08,70.66,75,39,5.32
105,Tuatapere,NZ,2020-04-18 05-46:47,-46.13,167.68,55.99,65,57,3.0
106,Lorengau,PG,2020-04-18 05-46:47,-2.02,147.27,84.63,70,79,7.27
107,Lata,PT,2020-04-18 05-46:48,40.16,-8.33,55.0,92,25,2.35
108,Nuuk,GL,2020-04-18 05-46:49,64.18,-51.72,24.8,85,100,10.29
109,Nizhniy Chir,RU,2020-04-18 05-46:49,48.36,43.09,50.07,47,49,7.63
110,Bethel,US,2020-04-18 05-46:50,41.37,-73.41,37.0,93,90,5.82
111,La Asuncion,VE,2020-04-18 05-42:24,11.03,-63.86,78.8,88,81,14.99
112,Waycross,US,2020-04-18 05-46:52,31.21,-82.35,66.2,88,1,4.83
113,Lebanon,US,2020-04-18 05-46:53,36.21,-86.29,50.0,93,90,5.82
114,Ankazoabo,MG,2020-04-18 05-46:54,-22.28,44.52,79.83,42,0,4.76
115,Cape Town,ZA,2020-04-18 05-46:54,-33.93,18.42,50.0,87,27,1.12
116,Grindavik,IS,2020-04-18 05-46:55,63.84,-22.43,44.6,93,90,28.86
117,Mahajanga,MG,2020-04-18 05-46:55,-15.72,46.32,82.4,61,17,5.82
118,Fayaoue,NC,2020-04-18 05-46:56,-20.65,166.53,78.19,73,89,13.73
119,East London,ZA,2020-04-18 05-46:56,-33.02,27.91,66.2,88,20,8.05
120,Saldanha,ZA,2020-04-18 05-46:58,-33.01,17.94,53.6,76,4,5.82
121,Hermanus,ZA,2020-04-18 05-46:58,-34.42,19.23,57.0,72,44,14.18
122,Hithadhoo,MV,2020-04-18 05-46:59,-0.6,73.08,84.06,77,6,13.69
123,Launceston,AU,2020-04-18 05-47:00,-41.45,147.17,59.0,44,92,8.05
124,Manjeshwar,IN,2020-04-18 05-47:00,12.72,74.89,89.6,62,20,3.36
125,Seybaplaya,MX,2020-04-18 05-47:01,19.65,-90.67,79.66,61,78,9.1
126,Kushima,JP,2020-04-18 05-47:02,31.46,131.23,75.2,29,20,25.28
127,Palauig,PH,2020-04-18 05-47:02,15.44,119.9,86.29,65,62,6.8
128,Carnarvon,AU,2020-04-18 05-47:03,-24.87,113.63,84.2,58,79,11.41
129,Naryan-Mar,RU,2020-04-18 05-47:03,67.67,53.09,32.99,98,99,7.02
130,Port Macquarie,AU,2020-04-18 05-46:26,-31.43,152.92,71.01,58,100,1.01
131,Monchegorsk,RU,2020-04-18 05-47:04,67.94,32.87,30.43,95,100,17.09
132,Nogales,MX,2020-04-18 05-44:33,31.31,-110.94,62.6,20,1,16.11
133,Hervey Bay,AU,2020-04-18 05-47:05,-25.3,152.85,84.2,58,90,13.87
134,Okha,RU,2020-04-18 05-47:06,53.57,142.95,29.08,87,93,9.19
135,Tiksi,RU,2020-04-18 05-47:07,71.69,128.87,11.8,93,100,6.67
136,Peace River,CA,2020-04-18 05-47:07,56.25,-117.29,35.6,59,20,9.17
137,Sibolga,ID,2020-04-18 05-46:20,1.74,98.78,88.25,63,95,5.26
138,Kaitangata,NZ,2020-04-18 05-47:08,-46.28,169.85,53.01,83,76,11.01
139,Itarema,BR,2020-04-18 05-47:10,-2.92,-39.92,75.38,87,75,0.74
140,Salalah,OM,2020-04-18 05-47:10,17.02,54.09,84.2,70,20,2.24
141,Namibe,AO,2020-04-18 05-47:11,-15.2,12.15,74.62,69,82,7.05
142,Dingle,PH,2020-04-18 05-47:11,11.0,122.67,91.33,52,28,15.21
143,Bontang,ID,2020-04-18 05-46:37,0.13,117.5,88.02,61,59,9.13
144,Saskylakh,RU,2020-04-18 05-47:12,71.92,114.08,12.79,87,0,4.47
145,Barcelos,PT,2020-04-18 05-47:13,41.54,-8.62,52.0,93,75,5.82
146,Sorland,NO,2020-04-18 05-47:13,67.67,12.69,39.45,89,100,14.03
147,College,US,2020-04-18 05-47:14,64.86,-147.8,41.0,86,90,1.81
148,Laguna,US,2020-04-18 05-47:15,38.42,-121.42,55.4,76,40,9.17
149,Acapulco,MX,2020-04-18 05-45:09,16.86,-99.89,78.8,74,5,2.37
150,Winnemucca,US,2020-04-18 05-47:16,40.97,-117.74,39.2,27,1,1.39
151,Arraial Do Cabo,BR,2020-04-18 05-47:16,-22.97,-42.03,73.13,72,72,9.28
152,Cabo San Lucas,MX,2020-04-18 05-46:31,22.89,-109.91,70.0,72,14,10.0
153,Narsaq,GL,2020-04-18 05-47:17,60.92,-46.05,26.6,63,80,9.17
154,Sao Jose Da Coroa Grande,BR,2020-04-18 05-47:18,-8.9,-35.15,79.23,81,62,0.87
155,Candelaria,PH,2020-04-18 05-47:18,13.93,121.42,88.0,70,82,3.0
156,Atuona,PF,2020-04-18 05-47:19,-9.8,-139.03,82.02,75,72,14.94
157,Alofi,NU,2020-04-18 05-47:20,-19.06,-169.92,80.6,78,24,10.29
158,Amli,IN,2020-04-18 05-47:20,20.28,73.02,103.26,20,0,7.49
159,Ha Giang,VN,2020-04-18 05-47:21,22.83,104.98,86.49,56,100,5.73
160,Rio Gallegos,AR,2020-04-18 05-47:21,-51.62,-69.22,46.4,61,35,12.75
161,Wattegama,LK,2020-04-18 05-47:22,6.8,81.48,93.38,46,73,4.74
162,Kununurra,AU,2020-04-18 05-47:22,-15.77,128.73,100.4,25,52,8.05
163,Vardo,NO,2020-04-18 05-47:23,70.37,31.11,32.76,96,100,23.15
164,San Cristobal,VE,2020-04-18 05-47:23,7.77,-72.22,66.97,55,72,1.28
165,Mataura,NZ,2020-04-18 05-47:24,-46.19,168.86,55.99,65,35,3.0
166,Couvin,BE,2020-04-18 05-47:24,50.05,4.5,57.99,71,100,1.12
167,Khatanga,RU,2020-04-18 05-47:25,71.97,102.5,18.86,92,0,14.83
168,Mojo,ET,2020-04-18 05-47:25,8.6,39.12,65.61,44,94,1.3
169,Bam,IR,2020-04-18 05-47:26,29.11,58.36,73.26,24,17,5.08
170,Grand Gaube,MU,2020-04-18 05-47:26,-20.01,57.66,82.0,78,75,16.11
171,Sao Filipe,CV,2020-04-18 05-47:27,14.9,-24.5,69.08,78,1,21.16
172,San Policarpo,PH,2020-04-18 05-47:27,12.18,125.51,83.41,76,22,10.96
173,Dafeng,CN,2020-04-18 05-47:28,23.45,108.59,82.63,61,100,9.78
174,Airai,TL,2020-04-18 05-47:28,-8.93,125.41,73.58,51,67,3.49
175,Valparaiso,CL,2020-04-18 05-47:29,-33.04,-71.63,50.0,93,20,5.82
176,Safranbolu,TR,2020-04-18 05-47:29,41.25,32.69,61.16,37,30,2.57
177,Ler,SS,2020-04-18 05-47:30,8.3,30.14,89.6,19,99,2.84
178,Port-Cartier,CA,2020-04-18 05-47:31,50.03,-66.87,17.6,67,20,4.7
179,Homer,US,2020-04-18 05-47:31,59.64,-151.55,48.2,81,90,5.82
180,Bako,ET,2020-04-18 05-47:32,5.78,36.57,65.7,63,98,4.25
181,Hilo,US,2020-04-18 05-47:32,19.73,-155.09,75.2,64,90,4.7
182,Chokurdakh,RU,2020-04-18 05-47:33,70.63,147.92,-3.41,91,39,5.14
183,Saint-Lo,FR,2020-04-18 05-47:33,49.12,-1.09,50.0,100,90,2.24
184,Paita,PE,2020-04-18 05-47:34,-5.09,-81.11,73.56,77,47,9.51
185,Menongue,AO,2020-04-18 05-47:34,-14.66,17.69,65.71,53,80,3.62
186,Korla,CN,2020-04-18 05-47:35,41.76,86.15,64.15,31,93,13.18
187,Hambantota,LK,2020-04-18 05-47:35,6.12,81.12,86.27,68,73,6.67
188,Longyearbyen,SJ,2020-04-18 05-43:52,78.22,15.64,28.4,86,40,3.36
189,Viedma,AR,2020-04-18 05-47:36,-40.81,-63.0,71.96,42,73,19.44
190,Oskemen,KZ,2020-04-18 05-47:37,49.96,82.61,60.8,36,0,4.47
191,Alekseyevsk,RU,2020-04-18 05-47:37,57.84,108.35,34.25,64,11,13.8
